conversation,turn,agent,prompt_tokens,latency
0,1,Baseline,334,2.8229566999998497
0,1,Decoupled,419,1.9856538000003638
0,2,Baseline,403,2.5176907000004576
0,2,Decoupled,463,2.050252700000783
0,3,Baseline,553,2.7731360999987373
0,3,Decoupled,519,2.030023200000869
0,4,Baseline,707,2.613749199999802
0,4,Decoupled,582,1.8943659999986266
0,5,Baseline,747,0.8494553999989876
0,5,Decoupled,653,1.9787014000012277
1,1,Baseline,336,1.6231347000011738
1,1,Decoupled,444,2.901409500000227
1,2,Baseline,410,1.9874364000006608
1,2,Decoupled,474,1.854831299999205
1,3,Baseline,578,2.561765700000251
1,3,Decoupled,505,1.9451423000009527
1,4,Baseline,744,3.0228542999993806
1,4,Decoupled,573,2.1314887999997154
1,5,Baseline,776,1.042408900000737
1,5,Decoupled,633,1.6330316999992647
2,1,Baseline,326,2.286875499999951
2,1,Decoupled,411,2.430510399999548
2,2,Baseline,396,2.1010369999985414
2,2,Decoupled,457,2.3146238999997877
2,3,Baseline,538,3.6347164000017074
2,3,Decoupled,529,3.475931299999502
2,4,Baseline,689,3.4658701999996993
2,4,Decoupled,599,1.7204977000001236
2,5,Baseline,851,2.478466799999296
2,5,Decoupled,642,1.7442166000000725
2,6,Baseline,884,0.8516644999999698
2,6,Decoupled,798,1.5592001999993954
3,1,Baseline,433,3.2360004000001936
3,1,Decoupled,462,1.9199552000009135
3,2,Baseline,614,2.7935861999994813
3,2,Decoupled,479,1.9620825000001787
3,3,Baseline,801,2.915949300000648
3,3,Decoupled,541,1.9180770000002667
3,4,Baseline,836,1.256608800000322
3,4,Decoupled,680,2.0786306999998487
4,1,Baseline,421,2.9224751999990985
4,1,Decoupled,456,1.8284301000003325
4,2,Baseline,584,2.7101368000003276
4,2,Decoupled,497,1.97718679999889
4,3,Baseline,747,2.9083066999992297
4,3,Decoupled,557,1.5266463999996631
4,4,Baseline,775,0.9726367000002938
4,4,Decoupled,618,2.1644037000005483
